file,lines,words
C:\Users\Lenovo\Desktop\Termination4\line.py,90,342
C:\Users\Lenovo\Desktop\Termination4\listen.py,16,46
C:\Users\Lenovo\Desktop\Termination4\script.py,35,74
C:\Users\Lenovo\Desktop\Termination4\setup.py,47,110
C:\Users\Lenovo\Desktop\Termination4\Termination4.py,294,860
C:\Users\Lenovo\Desktop\Termination4\.inf\1.py,140,390
C:\Users\Lenovo\Desktop\Termination4\.inf\bcombine.py,34,95
C:\Users\Lenovo\Desktop\Termination4\.inf\bmain.c,194,710
C:\Users\Lenovo\Desktop\Termination4\.inf\combine.py,38,123
C:\Users\Lenovo\Desktop\Termination4\.inf\edwifi.py,34,138
C:\Users\Lenovo\Desktop\Termination4\.inf\ico.py,44,123
C:\Users\Lenovo\Desktop\Termination4\.inf\ico2.py,63,194
C:\Users\Lenovo\Desktop\Termination4\.inf\service copy.c,334,1010
C:\Users\Lenovo\Desktop\Termination4\.inf\service.c,334,1010
C:\Users\Lenovo\Desktop\Termination4\.rm\screen.py,172,605
C:\Users\Lenovo\Desktop\Termination4\Errors\AppleBoot.py,70,228
C:\Users\Lenovo\Desktop\Termination4\Errors\BlueScreen.py,133,453
C:\Users\Lenovo\Desktop\Termination4\Errors\ERROR_HTML.py,2778,7966
C:\Users\Lenovo\Desktop\Termination4\Errors\FlowerScreen.py,69,202
C:\Users\Lenovo\Desktop\Termination4\SigThief-master\sigthief.py,221,760
C:\Users\Lenovo\Desktop\Termination4\TLhread\Thread_AntiVirusSoftware.py,86,277
C:\Users\Lenovo\Desktop\Termination4\TLhread\Thread_AutoRun.py,52,192
C:\Users\Lenovo\Desktop\Termination4\TLhread\Thread_InfectionWorker.py,60,185
C:\Users\Lenovo\Desktop\Termination4\TLhread\Thread_LW3T.py,52,143
C:\Users\Lenovo\Desktop\Termination4\TLhread\Thread_TWNT.py,203,502
C:\Users\Lenovo\Desktop\Termination4\TLhread\Thread_TWNTWork.py,495,1350
C:\Users\Lenovo\Desktop\Termination4\TLhread\__init__.py,6,24
C:\Users\Lenovo\Desktop\Termination4\TLib\T_AdministratorMode.py,170,436
C:\Users\Lenovo\Desktop\Termination4\TLib\T_AntiVirusSoftware.py,68,210
C:\Users\Lenovo\Desktop\Termination4\TLib\T_CDLL.py,393,948
C:\Users\Lenovo\Desktop\Termination4\TLib\T_ComputerInFo.py,307,855
C:\Users\Lenovo\Desktop\Termination4\TLib\T_EXEConfig.py,29,78
C:\Users\Lenovo\Desktop\Termination4\TLib\T_FIO.py,57,213
C:\Users\Lenovo\Desktop\Termination4\TLib\T_GodKeys.py,35,158
C:\Users\Lenovo\Desktop\Termination4\TLib\T_imports.py,138,468
C:\Users\Lenovo\Desktop\Termination4\TLib\T_Infection.py,174,423
C:\Users\Lenovo\Desktop\Termination4\TLib\T_KeMouse.py,274,864
C:\Users\Lenovo\Desktop\Termination4\TLib\T_Lock.py,97,277
C:\Users\Lenovo\Desktop\Termination4\TLib\T_Log.py,53,185
C:\Users\Lenovo\Desktop\Termination4\TLib\T_LW3T.py,211,660
